Date,Price,Open,High,Low,Vol.,Change %
2025-11-28 00:00:00.000000,26202.95,26237.45,26280.75,26172.4,202510000.0,-0.05
2025-12-01 00:00:00.000000,26175.75,26325.8,26325.8,26124.2,213830000.0,-0.1
2025-12-02 00:00:00.000000,26032.2,26087.95,26154.6,25997.85,254800000.0,-0.55
2025-12-03 00:00:00.000000,25986.0,26004.9,26066.45,25891.0,265660000.0,-0.18
2025-12-04 00:00:00.000000,26033.75,25981.85,26098.25,25938.95,248100000.0,0.18
2025-12-05 00:00:00.000000,26186.45,25999.8,26202.6,25985.35,249250000.0,0.59
2025-12-08 00:00:00.000000,25960.55,26159.8,26178.7,25892.25,320730000.0,-0.86
2025-12-09 00:00:00.000000,25839.65,25867.1,25923.65,25728.0,275980000.0,-0.47
2025-12-10 00:00:00.000000,25758.0,25864.05,25947.65,25734.55,207940000.0,-0.32
2025-12-11 00:00:00.000000,25898.55,25771.4,25922.8,25693.25,206100000.0,0.55
2025-12-12 00:00:00.000000,26046.95,25971.2,26057.6,25938.45,216340000.0,0.57
2025-12-15 00:00:00.000000,26027.3,25930.05,26047.15,25904.75,181560000.0,-0.08
2025-12-16 00:00:00.000000,25860.1,25951.5,25980.75,25834.35,264350000.0,-0.64
2025-12-17 00:00:00.000000,25818.55,25902.4,25929.15,25770.35,206520000.0,-0.16
2025-12-18 00:00:00.000000,25815.55,25764.7,25902.35,25726.3,197550000.0,-0.01
2025-12-19 00:00:00.000000,25966.4,25911.5,25993.35,25880.45,382930000.0,0.58
2025-12-22 00:00:00.000000,26172.4,26055.85,26180.7,26047.8,252990000.0,0.79
2025-12-23 00:00:00.000000,26177.15,26205.2,26233.55,26119.05,216550000.0,0.02
2025-12-24 00:00:00.000000,26142.1,26170.65,26236.4,26123.0,188850000.0,-0.13
2025-12-26 00:00:00.000000,26042.3,26121.25,26144.2,26008.6,142240000.0,-0.38
2025-12-29 00:00:00.000000,25942.1,26063.35,26106.8,25920.3,234310000.0,-0.38
2025-12-30 00:00:00.000000,25938.85,25940.9,25976.75,25878.0,396890000.0,-0.01
2025-12-31 00:00:00.000000,26129.6,25971.05,26187.95,25969.0,246310000.0,0.74
2026-01-01 00:00:00.000000,26146.55,26173.3,26197.55,26113.4,425630000.0,0.06
2026-01-02 00:00:00.000000,26328.55,26155.1,26340.0,26118.4,357550000.0,0.7
